Presence,NND,DistDirt,DistPaved,DistPen,DistDump,DistVil,DistTown,Slope,Elevation,Water,Urban,Agri ,Forest ,Open,Class,IRR,CliffHeight,MeanSlope,Aspect,DistRoad
1,3577.55,230.35,931.81,2041.15,20158.03,3508.66,2414.93,28.01,724,0.00,9.58,2.24,2.24,85.94,5.00,8.03,126.00,12.97,275.84,230.35
1,583.67,81.73,2449.01,1362.64,15820.84,4272.28,2613.54,38.17,799,0.00,0.00,0.00,0.00,100.00,1.00,8.85,123.00,11.45,120.23,81.73
1,1719.30,183.59,879.78,986.14,17318.85,4254.55,995.16,38.86,848,0.00,12.66,0.00,0.00,87.34,2.00,10.62,113.00,11.97,100.73,183.59
1,419.11,444.23,1348.58,1382.27,14263.21,4528.14,8078.15,41.37,602,0.00,0.00,34.62,0.00,65.38,2.00,2.03,101.00,3.37,124.59,444.23
1,765.96,370.20,405.79,2250.16,13281.12,3571.97,8117.71,22.09,586,0.00,0.00,45.37,0.00,54.63,3.00,6.18,63.00,5.05,107.32,370.20
1,251.17,264.04,167.92,99.52,7329.80,880.52,8708.02,20.39,566,0.00,0.00,48.08,0.00,51.92,4.00,6.22,4.00,7.78,300.30,167.92
1,251.17,233.61,108.58,311.34,7568.41,1094.37,8934.68,18.70,576,0.00,0.00,49.84,0.00,50.16,4.00,5.44,9.00,7.22,232.00,108.58
1,1132.29,545.32,451.45,925.29,5775.03,2125.25,6581.27,20.89,613,0.00,0.00,20.25,0.00,79.75,3.00,4.62,9.00,8.88,126.12,451.45
1,1216.99,130.06,1051.95,1406.72,3087.09,2994.10,3733.62,6.38,871,0.00,0.00,0.00,20.89,79.11,2.00,5.56,3.00,11.06,153.43,130.06
1,2083.45,217.80,943.67,1384.72,11165.57,3436.86,6744.92,32.38,609,0.00,0.00,26.52,0.00,73.48,2.00,8.44,40.00,12.96,266.99,217.80
1,1589.91,81.83,309.92,2849.54,4489.51,2036.32,5314.55,26.22,877,0.00,0.00,32.91,50.80,16.29,3.00,6.13,50.00,11.51,66.04,81.83
1,419.11,509.61,1765.32,997.60,14649.12,4944.03,8168.20,29.61,599,0.00,0.00,31.31,0.00,68.69,2.00,10.06,69.00,10.59,244.37,502.32
1,882.30,954.95,2619.46,968.58,15500.41,6099.25,8111.30,29.83,588,0.00,0.00,0.65,0.00,99.35,2.00,5.34,41.00,9.52,157.35,572.76
1,1109.32,73.86,132.79,999.77,15121.90,1755.61,12677.23,21.73,781,0.00,0.00,31.43,38.73,29.84,3.00,8.45,25.00,12.88,158.53,73.86
1,1109.32,183.86,168.90,109.60,16173.06,815.52,12199.70,27.64,745,0.00,0.00,34.18,25.00,40.82,5.00,9.89,15.00,14.71,117.99,168.90
1,411.43,458.55,613.33,1792.50,9743.09,4189.96,8480.34,35.53,709,0.00,0.00,35.90,0.00,64.10,3.00,3.16,69.00,5.00,143.06,458.55
1,3209.19,462.09,411.72,3693.58,20141.83,3113.65,12618.72,26.98,685,0.00,0.00,24.68,49.04,26.28,3.00,9.54,169.00,17.41,201.10,411.72
1,3209.19,266.33,659.00,1572.26,21818.17,579.83,10421.04,25.25,689,0.00,12.74,13.06,0.32,73.88,5.00,10.11,134.00,17.22,137.15,266.33
1,1411.28,298.48,678.89,1200.68,5428.82,2357.76,5880.54,27.32,626,0.00,0.00,35.46,0.00,64.54,4.00,8.97,90.00,11.86,289.31,298.48
1,2318.56,731.56,1149.46,847.74,7727.25,4165.73,6673.31,31.96,662,0.00,0.00,15.65,0.00,84.35,3.00,7.83,44.00,10.80,84.25,731.56
1,3340.40,138.02,864.76,224.96,867.86,4533.18,2561.33,17.36,755,0.00,5.77,3.20,19.23,71.80,4.00,6.99,4.00,12.54,42.84,138.02
1,2144.16,286.07,235.79,795.19,2766.23,3050.39,2279.70,36.52,757,0.00,0.00,23.64,4.47,71.89,5.00,11.43,97.00,14.91,70.95,235.79
1,1132.29,478.59,771.95,1369.67,6499.15,1663.24,7480.92,22.68,595,0.00,0.00,7.77,92.23,0.00,2.00,6.49,51.00,11.37,156.50,478.59
1,1649.98,160.75,276.10,2866.46,5686.87,1822.99,5715.91,37.84,871,0.00,0.00,26.20,37.06,36.74,5.00,7.72,60.00,17.59,67.29,160.75
